,Date,Open,High,Low,Close,Volume
0,2016-05-19,1248.0,1255.5,1247.5,1254.199951171875,69.0
1,2016-05-20,1256.5999755859375,1256.5999755859375,1252.4000244140625,1252.4000244140625,44.0
2,2016-05-23,1251.5999755859375,1251.5999755859375,1247.5,1251.0999755859375,56.0
3,2016-05-24,1240.0,1240.0,1228.199951171875,1228.9000244140625,20.0
4,2016-05-25,1219.300048828125,1223.5,1218.5999755859375,1223.5,5.0
5,2016-05-26,1232.5999755859375,1232.5999755859375,1220.0999755859375,1220.0999755859375,199778.0
6,2016-05-27,1220.300048828125,1223.199951171875,1206.4000244140625,1213.800048828125,63739.0
7,2016-05-31,1212.5,1217.5999755859375,1199.0,1214.800048828125,6432.0
8,2016-06-01,1215.699951171875,1219.800048828125,1205.4000244140625,1211.9000244140625,2717.0
9,2016-06-02,1212.4000244140625,1217.0,1209.5999755859375,1209.800048828125,1627.0
10,2016-06-03,1209.0999755859375,1244.5,1206.4000244140625,1240.0999755859375,1622.0
11,2016-06-06,1244.4000244140625,1247.300048828125,1240.0,1244.5999755859375,1135.0
12,2016-06-07,1244.0,1244.9000244140625,1236.5,1244.4000244140625,281.0
13,2016-06-08,1247.5999755859375,1264.0,1247.300048828125,1259.800048828125,406.0
14,2016-06-09,1262.5,1271.4000244140625,1258.0999755859375,1270.199951171875,381.0
15,2016-06-10,1267.5999755859375,1278.0,1265.300048828125,1273.4000244140625,397.0
16,2016-06-13,1276.199951171875,1287.300048828125,1273.0,1284.4000244140625,328.0
17,2016-06-14,1281.800048828125,1289.699951171875,1277.800048828125,1285.5999755859375,554.0
18,2016-06-15,1284.5999755859375,1296.199951171875,1278.800048828125,1285.800048828125,162.0
19,2016-06-16,1296.300048828125,1316.4000244140625,1281.0999755859375,1296.0999755859375,251.0
20,2016-06-17,1280.300048828125,1300.0999755859375,1280.300048828125,1292.5,129.0
21,2016-06-20,1288.9000244140625,1291.199951171875,1280.300048828125,1290.0,153.0
22,2016-06-21,1293.9000244140625,1293.9000244140625,1266.300048828125,1270.5,134.0
23,2016-06-22,1267.0,1269.199951171875,1264.9000244140625,1268.0,53.0
24,2016-06-23,1263.4000244140625,1270.5,1255.199951171875,1261.199951171875,218.0
25,2016-06-24,1253.699951171875,1355.5999755859375,1253.699951171875,1320.0,694.0
26,2016-06-27,1330.0,1331.699951171875,1320.0,1322.5,92.0
27,2016-06-28,1314.800048828125,1315.5999755859375,1314.0999755859375,1315.300048828125,1072.0
28,2016-06-29,1311.5999755859375,1327.4000244140625,1311.5999755859375,1323.9000244140625,414.0
29,2016-06-30,1315.800048828125,1323.5,1314.5,1318.4000244140625,560.0
30,2016-07-01,1324.5,1344.199951171875,1321.9000244140625,1336.699951171875,137.0
31,2016-07-05,1342.199951171875,1356.800048828125,1339.699951171875,1356.4000244140625,90.0
32,2016-07-06,1359.0,1374.9000244140625,1359.0,1364.9000244140625,130.0
33,2016-07-07,1366.800048828125,1368.5999755859375,1350.5,1360.0999755859375,207.0
34,2016-07-08,1361.300048828125,1365.800048828125,1335.0,1356.5999755859375,249.0
35,2016-07-11,1371.699951171875,1371.800048828125,1353.0,1355.0,26.0
36,2016-07-12,1353.5999755859375,1356.0,1330.300048828125,1334.0999755859375,252.0
37,2016-07-13,1341.5,1342.4000244140625,1336.699951171875,1342.4000244140625,7.0
38,2016-07-14,1341.4000244140625,1341.4000244140625,1322.699951171875,1331.300048828125,20.0
39,2016-07-15,1333.699951171875,1333.699951171875,1322.9000244140625,1326.5,52.0
40,2016-07-18,1327.5,1335.0,1326.199951171875,1328.4000244140625,54.0
41,2016-07-19,1328.5,1333.199951171875,1326.4000244140625,1331.5,322.0
42,2016-07-20,1331.0,1337.5,1315.5,1318.800048828125,751.0
43,2016-07-21,1312.800048828125,1330.5,1312.800048828125,1330.5,318.0
44,2016-07-22,1330.699951171875,1330.699951171875,1320.4000244140625,1323.0999755859375,55.0
45,2016-07-25,1315.699951171875,1319.300048828125,1313.800048828125,1319.300048828125,548.0
46,2016-07-26,1315.199951171875,1320.699951171875,1315.199951171875,1320.699951171875,63.0
47,2016-07-27,1326.0,1326.5999755859375,1326.0,1326.5999755859375,215388.0
48,2016-07-28,1339.5,1344.300048828125,1330.0999755859375,1332.300048828125,56908.0
49,2016-07-29,1333.199951171875,1353.300048828125,1325.800048828125,1349.0,6076.0
50,2016-08-01,1348.800048828125,1353.5,1345.5999755859375,1351.4000244140625,1257.0
51,2016-08-02,1352.0999755859375,1366.0,1346.5999755859375,1364.4000244140625,2941.0
52,2016-08-03,1362.4000244140625,1364.699951171875,1353.300048828125,1356.0999755859375,715.0
53,2016-08-04,1354.4000244140625,1361.5999755859375,1347.0,1358.800048828125,381.0
54,2016-08-05,1357.5999755859375,1360.800048828125,1333.699951171875,1336.4000244140625,1107.0
55,2016-08-08,1330.0,1335.4000244140625,1327.800048828125,1333.4000244140625,587.0
56,2016-08-09,1331.800048828125,1339.4000244140625,1328.5,1339.0,620.0
57,2016-08-10,1344.800048828125,1354.199951171875,1344.300048828125,1344.300048828125,110.0
58,2016-08-11,1341.5999755859375,1350.4000244140625,1334.800048828125,1342.5,666.0
59,2016-08-12,1336.800048828125,1351.800048828125,1333.199951171875,1335.800048828125,113.0
60,2016-08-15,1336.5,1340.5999755859375,1333.5999755859375,1340.300048828125,62.0
61,2016-08-16,1342.199951171875,1355.0,1341.0,1350.5,338.0
62,2016-08-17,1345.5,1347.300048828125,1338.5999755859375,1342.699951171875,135.0
63,2016-08-18,1351.300048828125,1354.4000244140625,1348.199951171875,1351.199951171875,140.0
64,2016-08-19,1350.0999755859375,1350.0999755859375,1338.5999755859375,1340.4000244140625,197.0
65,2016-08-22,1334.4000244140625,1337.699951171875,1333.300048828125,1337.699951171875,117.0
66,2016-08-23,1337.0,1341.199951171875,1334.300048828125,1340.5999755859375,551.0
67,2016-08-24,1337.199951171875,1337.199951171875,1322.9000244140625,1324.4000244140625,262.0
68,2016-08-25,1321.4000244140625,1324.0,1317.0,1320.0999755859375,58.0
69,2016-08-26,1323.800048828125,1340.5,1320.0999755859375,1321.5,141.0
70,2016-08-29,1315.0,1323.0,1315.0,1322.9000244140625,437.0
71,2016-08-30,1322.0,1322.0999755859375,1308.0,1311.699951171875,705.0
72,2016-08-31,1310.300048828125,1313.699951171875,1306.300048828125,1306.9000244140625,214.0
73,2016-09-01,1305.300048828125,1313.0999755859375,1301.5,1312.199951171875,225.0
74,2016-09-02,1309.5999755859375,1326.699951171875,1309.199951171875,1322.0999755859375,55.0
75,2016-09-06,1323.300048828125,1349.4000244140625,1323.199951171875,1349.4000244140625,46.0
76,2016-09-07,1348.4000244140625,1350.5,1343.9000244140625,1344.300048828125,14.0
77,2016-09-08,1344.800048828125,1345.4000244140625,1335.699951171875,1336.800048828125,30.0
78,2016-09-09,1338.5,1338.5,1328.0,1330.0999755859375,35.0
79,2016-09-12,1327.0,1329.300048828125,1319.9000244140625,1321.0,177.0
80,2016-09-13,1324.5999755859375,1324.5999755859375,1315.0,1319.0,79.0
81,2016-09-14,1319.199951171875,1322.300048828125,1319.199951171875,1321.5,73.0
82,2016-09-15,1320.699951171875,1320.699951171875,1310.800048828125,1313.5,37.0
83,2016-09-16,1312.199951171875,1312.5999755859375,1305.800048828125,1305.800048828125,4.0
84,2016-09-19,1313.5,1313.5,1313.5,1313.5,20.0
85,2016-09-20,1313.699951171875,1313.699951171875,1313.699951171875,1313.699951171875,97.0
86,2016-09-21,1326.300048828125,1326.9000244140625,1324.0,1326.9000244140625,76.0
87,2016-09-22,1338.5999755859375,1340.4000244140625,1338.199951171875,1340.4000244140625,23.0
88,2016-09-23,1337.199951171875,1337.199951171875,1337.199951171875,1337.199951171875,40.0
89,2016-09-26,1335.199951171875,1341.800048828125,1335.199951171875,1339.699951171875,24.0
90,2016-09-27,1328.0,1328.699951171875,1325.9000244140625,1325.9000244140625,48.0
91,2016-09-28,1319.4000244140625,1319.4000244140625,1319.4000244140625,1319.4000244140625,10551.0
92,2016-09-29,1321.199951171875,1325.0,1314.699951171875,1321.699951171875,6108.0
93,2016-09-30,1320.5999755859375,1327.699951171875,1312.9000244140625,1313.300048828125,868.0
94,2016-10-03,1313.5,1316.800048828125,1308.199951171875,1309.0,299.0
95,2016-10-04,1307.5999755859375,1310.199951171875,1266.300048828125,1266.300048828125,1893.0
96,2016-10-05,1272.0999755859375,1274.0,1261.300048828125,1265.199951171875,246.0
97,2016-10-06,1265.300048828125,1265.300048828125,1249.800048828125,1249.800048828125,114.0
98,2016-10-07,1253.9000244140625,1263.5999755859375,1248.9000244140625,1248.9000244140625,169.0
99,2016-10-11,1258.9000244140625,1258.9000244140625,1253.0,1253.0,26.0
100,2016-10-12,1251.699951171875,1254.0,1251.0999755859375,1251.0999755859375,127.0
101,2016-10-13,1258.699951171875,1259.0,1255.0,1255.0,315.0
102,2016-10-14,1253.9000244140625,1253.9000244140625,1250.5999755859375,1253.0999755859375,311.0
103,2016-10-17,1249.9000244140625,1255.0,1249.9000244140625,1254.4000244140625,41.0
104,2016-10-18,1260.9000244140625,1261.699951171875,1260.800048828125,1260.800048828125,11.0
105,2016-10-19,1262.9000244140625,1271.5,1262.9000244140625,1267.9000244140625,219.0
106,2016-10-20,1270.0,1270.5,1265.5,1265.5999755859375,415.0
107,2016-10-21,1265.9000244140625,1265.9000244140625,1265.9000244140625,1265.9000244140625,224.0
108,2016-10-24,1269.199951171875,1269.199951171875,1261.800048828125,1262.0,42.0
109,2016-10-25,1264.0999755859375,1274.0999755859375,1264.0999755859375,1271.9000244140625,61.0
110,2016-10-26,1274.0,1274.0,1264.800048828125,1264.800048828125,279.0
111,2016-10-27,1269.4000244140625,1269.4000244140625,1267.9000244140625,1267.9000244140625,338.0
112,2016-10-28,1270.300048828125,1281.5,1262.0,1275.5,560.0
113,2016-10-31,1276.5999755859375,1276.5999755859375,1271.5,1271.5,58.0
